2026-03-14 17:19:08,881 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,906 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,906 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,930 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,930 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,953 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,954 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,976 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,976 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:08,999 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:08,999 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,022 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,022 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,043 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,045 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,067 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,067 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,088 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,088 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,113 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,113 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,135 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,135 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,157 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,157 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,179 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,180 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,202 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,202 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,224 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,224 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,247 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,247 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,269 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,270 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,291 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,292 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,318 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,318 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,343 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,343 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,377 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,377 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,409 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,409 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,434 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,434 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,465 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,465 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,492 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,493 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,516 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,516 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,541 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,542 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,567 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,568 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,593 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,593 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,626 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,626 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,657 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,657 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,688 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,688 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,718 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,718 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,743 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,743 - DEBUG - Landed on platform at y=635
